。,。,8,8,61,-1.3314
ナ,な,275,275,287,-2.4649
？,？,1317,1317,17,-2.1966
！,！,1318,1318,244,-1.8994
ナイ,ない,473,473,468,-1.9102
、,、,10,10,151,-1.2388
スル,する,599,599,481,-1.9256
サ,さ,605,605,441,-1.9429
シロ,しろ,608,608,437,-1.9511
ト,と,150,150,282,-2.0205
イル,いる,919,919,468,-2.0252
マシ,まし,501,501,17,-2.0568
ナ,な,12,12,468,-2.1302
ナウ,なう,32,32,468,-2.1302
ナカレ,なかれ,30,30,468,-2.1302
ナキ,なき,22,22,468,-2.1302
ナシ,なし,24,24,468,-2.1302
ニ,に,329,329,282,-2.1304
イ,い,930,930,356,-2.1359
アル,ある,403,403,481,-2.1662
ナイ,ない,482,482,468,-2.1865
ナ,な,468,468,287,-2.1946
ナキ,なき,474,474,495,-2.1971
ナシ,なし,475,475,258,-2.1972
マセ,ませ,497,497,17,-2.1975
ナク,なく,36,36,468,-2.1982
マシ,まし,499,499,17,-2.1989
イロ,いろ,926,926,437,-2.2103
ナレ,なれ,456,456,47,-2.2130
トシテ,として,179,179,356,-2.2351
