。,。,8,8,61,-1.3314
ヨ,よ,288,288,17,-2.1371
シ,し,610,610,258,-1.5990
デ,で,149,149,468,-1.6217
コト,こと,1310,1310,282,-2.7223
」,」,7,7,121,-2.0635
ノ,の,1310,1310,408,-2.8286
！,！,1318,1318,244,-1.8994
ナイ,ない,473,473,468,-1.9102
サ,さ,605,605,441,-1.9429
シロ,しろ,608,608,437,-1.9511
カラ,から,297,297,356,-2.2876
ト,と,150,150,282,-2.0205
レ,れ,876,876,468,-2.0302
ト,と,363,363,282,-2.0990
ナ,な,12,12,468,-2.1302
ナカレ,なかれ,30,30,468,-2.1302
ナキ,なき,22,22,468,-2.1302
ナシ,なし,24,24,468,-2.1302
ニ,に,329,329,282,-2.1304
アル,ある,403,403,481,-2.1662
ナイ,ない,482,482,468,-2.1865
ナ,な,468,468,287,-2.1946
ナキ,なき,474,474,495,-2.1971
ナシ,なし,475,475,258,-2.1972
マセ,ませ,497,497,17,-2.1975
ナク,なく,36,36,468,-2.1982
マシ,まし,499,499,17,-2.1989
イロ,いろ,926,926,437,-2.2103
ナレ,なれ,456,456,47,-2.2130
