ノ,の,368,368,408,-1.2496
ガ,が,148,148,468,-1.4760
、,、,10,10,151,-1.2388
ニ,に,151,151,282,-1.3804
ハ,は,261,261,468,-1.3881
モ,も,262,262,468,-1.7359
ヲ,を,156,156,356,-1.4309
ト,と,150,150,282,-2.0205
。,。,8,8,61,-1.3314
！,！,1318,1318,244,-1.8994
ナイ,ない,473,473,468,-1.9102
シロ,しろ,608,608,437,-1.9511
・,・,5,5,203,-2.9388
ト,と,363,363,282,-2.0990
マシ,まし,501,501,17,-2.0568
…,…,5,5,184,-3.0115
デ,で,149,149,468,-1.6217
ガ,が,299,299,468,-2.1078
ナカレ,なかれ,30,30,468,-2.1302
ニ,に,329,329,282,-2.1304
アル,ある,403,403,481,-2.1662
ナ,な,468,468,287,-2.1946
ナキ,なき,474,474,495,-2.1971
ナシ,なし,475,475,258,-2.1972
マセ,ませ,497,497,17,-2.1975
カラ,から,147,147,356,-2.0033
イロ,いろ,926,926,437,-2.2103
ナレ,なれ,456,456,47,-2.2130
ダ,だ,453,453,471,-1.9207
レロ,れろ,874,874,468,-2.2428
